CMS_id,report,title,journal,date,CTG,category,inspire_id,abstract,keywords,doi,MA_topics
58,FSQ-16-006,Study of central exclusive $\pi^{+}\pi^{-}$ production in proton-proton collisions at $\sqrt{s} = $ 5.02 and 13 TeV,EPJC 80 (2020) 718,2020-03-05,FSQ,Forward and Small-x QCD Physics,1784063,"Central exclusive and semiexclusive production of pairs is measured with the CMS detector in proton-proton collisions at the LHC at center-of-mass energies of 5.02 and 13TeV. The theoretical description of these nonperturbative processes, which have not yet been measured in detail at the LHC, poses a significant challenge to models. The two pions are measured and identified in the CMS silicon tracker based on specific energy loss, whereas the absence of other particles is ensured by calorimeter information. The total and differential cross sections of exclusive and semiexclusive central production are measured as functions of invariant mass, transverse momentum, and rapidity of the system in the fiducial region defined as transverse momentum and pseudorapidity . The production cross sections for the four resonant channels [inline-graphic not available: see fulltext], , [inline-graphic not available: see fulltext], and [inline-graphic not available: see fulltext]are extracted using a simple model. These results represent the first measurement of this process at the LHC collision energies of 5.02 and 13TeV.","['p p: scattering', 'p p: colliding beams', 'pi: pair production', 'pi: particle identification', 'CERN LHC Coll', 'transverse momentum dependence', 'rapidity dependence', 'mass dependence', 'mass spectrum: (pi+ pi-)', 'CMS', 'differential cross section: measured', 'total cross section: measured', 'f0(600)', 'rho(770)', 'f0(980)', 'f2(1270)', 'pi: exclusive production', 'tracking detector', 'nonperturbative', 'calorimeter', 'energy loss', 'two-pion', 'silicon', 'experimental results', '5020 GeV-cms', '13000 GeV-cms']",10.1140/epjc/s10052-020-8166-5,
57,FSQ-12-033,Measurement of single-diffractive dijet production in proton-proton collisions at $\sqrt{s} = $ 8 TeV with the CMS and TOTEM experiments,"EPJC 80, 1164 (2020)",2020-02-27,FSQ,Forward and Small-x QCD Physics,1782637,"Measurements are presented of the single-diffractive dijet cross section and the diffractive cross section as a function of the proton fractional momentum loss $\xi $ and the four-momentum transfer squared t. Both processes ${\text{ p }{}{}} {\text{ p }{}{}} \rightarrow {\text{ p }{}{}} {\text{ X }} $ and ${\text{ p }{}{}} {\text{ p }{}{}} \rightarrow {\text{ X }} {\text{ p }{}{}} $, i.e. with the proton scattering to either side of the interaction point, are measured, where ${\text{ X }} $ includes at least two jets; the results of the two processes are averaged. The analyses are based on data collected simultaneously with the CMS and TOTEM detectors at the LHC in proton–proton collisions at $\sqrt{s} = 8\,\text {Te}\text {V} $ during a dedicated run with $\beta ^{*} = 90\,\text {m} $ at low instantaneous luminosity and correspond to an integrated luminosity of $37.5{\,\text {nb}^{-1}} $. The single-diffractive dijet cross section $\sigma ^{{\text{ p }{}{}} {\text{ X }}}_{\mathrm {jj}}$, in the kinematic region $\xi < 0.1$, $0.03< |t | < 1\,\text {Ge}\text {V} ^2$, with at least two jets with transverse momentum $p_{\mathrm {T}} > 40\,\text {Ge}\text {V} $, and pseudorapidity $|\eta | < 4.4$, is $21.7 \pm 0.9\,\text {(stat)} \,^{+3.0}_{-3.3}\,\text {(syst)} \pm 0.9\,\text {(lumi)} \,\text {nb} $. The ratio of the single-diffractive to inclusive dijet yields, normalised per unit of $\xi $, is presented as a function of x, the longitudinal momentum fraction of the proton carried by the struck parton. The ratio in the kinematic region defined above, for x values in the range $-2.9 \le \log _{10} x \le -1.6$, is $R = (\sigma ^{{\text{ p }{}{}} {\text{ X }}}_{\mathrm {jj}}/\Delta \xi )/\sigma _{\mathrm {jj}} = 0.025 \pm 0.001\,\text {(stat)} \pm 0.003\,\text {(syst)} $, where $\sigma ^{{\text{ p }{}{}} {\text{ X }}}_{\mathrm {jj}}$ and $\sigma _{\mathrm {jj}}$ are the single-diffractive and inclusive dijet cross sections, respectively. The results are compared with predictions from models of diffractive and nondiffractive interactions. Monte Carlo predictions based on the HERA diffractive parton distribution functions agree well with the data when corrected for the effect of soft rescattering between the spectator partons.","['p p: colliding beams', 'parton: distribution function', 'p p: scattering', 'jet: pair production', 'dijet: production', 'dijet: yield', 'diffraction: model', 'parton: spectator', 'vertex: primary', 'kinematics', 'TOTEM', 'CMS', 'differential cross section: measured', 'x-dependence', 'longitudinal momentum', 'jet: transverse momentum', 'nondiffractive', 'CERN LHC Coll', 'numerical calculations: Monte Carlo', 'fractional', 'jet: rapidity', 'experimental results', '8000 GeV-cms']",10.1140/epjc/s10052-020-08562-y,
56,FSQ-15-009,Bose-Einstein correlations of charged hadrons in proton-proton collisions at $\sqrt{s} = $ 13 TeV,JHEP 03 (2020) 014,2019-10-20,FSQ,Forward and Small-x QCD Physics,1759872,"Bose-Einstein correlations of charged hadrons are measured over a broad multiplicity range, from a few particles up to about 250 reconstructed charged hadrons in proton-proton collisions at $ \sqrt{s} $ = 13 TeV. The results are based on data collected using the CMS detector at the LHC during runs with a special low-pileup configuration. Three analysis techniques with different degrees of dependence on simulations are used to remove the non-Bose-Einstein background from the correlation functions. All three methods give consistent results. The measured lengths of homogeneity are studied as functions of particle multiplicity as well as average pair transverse momentum and mass. The results are compared with data from both CMS and ATLAS at $ \sqrt{s} $ = 7 TeV, as well as with theoretical predictions.[graphic not available: see fulltext]","['p p: colliding beams', 'correlation: Bose-Einstein', 'p p: scattering', 'particle: multiplicity', 'multiplicity: dependence', 'CMS', 'correlation function', 'transverse momentum dependence', 'mass dependence', 'CERN LHC Coll', 'background', 'numerical calculations: Monte Carlo', 'data analysis method', 'experimental results', '13000 GeV-cms']",10.1007/JHEP03(2020)014,
55,FSQ-18-001,Measurement of the average very forward energy as a function of the track multiplicity at central pseudorapidities in proton-proton collisions at $\sqrt{s} = $ 13 TeV,EPJC 79 (2019) 893,2019-08-05,FSQ,Forward and Small-x QCD Physics,1747892,"The average total energy as well as its hadronic and electromagnetic components are measured with the CMS detector at pseudorapidities $-6.6<\eta <-5.2$ in proton-proton collisions at a centre-of-mass energy $\sqrt{s}=13\,\text {TeV} $ . The results are presented as a function of the charged particle multiplicity in the region $|\eta |<2$ . This measurement is sensitive to correlations induced by the underlying event structure over a very wide pseudorapidity region. The predictions of Monte Carlo event generators commonly used in collider experiments and ultra-high energy cosmic ray physics are compared to the data. All generators considered overestimate the fraction of energy going into hadrons.","['p p: scattering', 'p p: colliding beams', 'charged particle: multiplicity', 'multiplicity: dependence', 'cosmic radiation: UHE', 'tracks: multiplicity', 'rapidity', 'numerical calculations: Monte Carlo', 'underlying event', 'electromagnetic', 'correlation', 'structure', 'CMS', 'CERN LHC Coll', 'experimental results', '13000 GeV-cms']",10.1140/epjc/s10052-019-7402-3,
54,FSQ-16-007,Measurement of exclusive $\rho(770)^{0}$ photoproduction in ultraperipheral pPb collisions at ${\sqrt {\smash [b]{s_{_{\mathrm {NN}}}}}} = $ 5.02 TeV,EPJC 79 (2019) 702,2019-02-05,FSQ,Forward and Small-x QCD Physics,1718344,"Exclusive ${{{\uprho _{}^{}} _{}^{}}{{\left( {770}\right) }{}_{}^{}}} ^{0}$ photoproduction is measured for the first time in ultraperipheral pPb collisions at $\sqrt{\smash [b]{s_{_{\mathrm {NN}}}}} = 5.02\,\text {Te}\text {V} $ with the CMS detector. The cross section $\sigma ({\upgamma _{}^{}} \mathrm{p}\rightarrow {{{\uprho _{}^{}} _{}^{}}{{\left( {770}\right) }{}_{}^{}}} ^{0}\mathrm{p})$ is $11.0 \pm 1.4\,\text {(stat)} \pm 1.0\,\text {(syst)} $ $\mu $ b at $\langle W_{{\upgamma _{}^{}} \mathrm{p}}\rangle = 92.6\,\text {Ge}\text {V} $ for photon–proton centre-of-mass energies $W_{{\upgamma _{}^{}} \mathrm{p}}$ between 29 and $213\,\text {Ge}\text {V} $ . The differential cross section $\mathrm {d}\sigma /\mathrm {d}|t |$ is measured in the interval $0.025< |t | < 1\,\text {Ge}\text {V} ^{2}$ as a function of $W_{{\upgamma _{}^{}} \mathrm{p}}$ , where t is the squared four-momentum transfer at the proton vertex. The results are compared with previous measurements and theoretical predictions. The measured cross section $\sigma ({\upgamma _{}^{}} \mathrm{p}\rightarrow {{{\uprho _{}^{}} _{}^{}}{{\left( {770}\right) }{}_{}^{}}} ^{0}\mathrm{p})$ has a power-law dependence on the photon–proton centre-of-mass, consistent with electron–proton collision measurements performed at HERA. The $W_{{\upgamma _{}^{}} \mathrm{p}}$ dependence of the exponential slope of the differential cross section $\mathrm {d}\sigma /\mathrm {d}|t |$ is also measured.","['experimental results', 'cross section: measured', 'differential cross section: slope', 'rho(770): photoproduction', 'exclusive reaction', 'p nucleus: scattering', 'impact parameter: high', 'energy dependence', 'CMS', 'data analysis method', 'statistical analysis']",10.1140/epjc/s10052-019-7202-9,
53,FSQ-15-006,Measurement of the energy density as a function of pseudorapidity in proton-proton collisions at $\sqrt{s} = $ 13 TeV,EPJC 79 (2019) 391,2018-12-10,FSQ,Forward and Small-x QCD Physics,1708620,"A measurement of the energy density in proton–proton collisions at a centre-of-mass energy of $\sqrt{s} =13$ $\,\text {TeV}$ is presented. The data have been recorded with the CMS experiment at the LHC during low luminosity operations in 2015. The energy density is studied as a function of pseudorapidity in the ranges $-\,6.6<\eta <-\,5.2$ and $3.15<|\eta |<5.20$ . The results are compared with the predictions of several models. All the models considered suggest a different shape of the pseudorapidity dependence compared to that observed in the data. A comparison with LHC proton–proton collision data at $\sqrt{s} =0.9$ and $7\,\text {TeV} $ confirms the compatibility of the data with the hypothesis of limiting fragmentation.","['p p: colliding beams', 'energy: density', 'transverse energy: density', 'p p: scattering', 'charged particle: energy flow', 'energy flow: measured', 'rapidity dependence', 'CERN LHC Coll', 'fragmentation', 'CMS', 'numerical calculations: Monte Carlo', 'experimental results', '13000 GeV-cms']",10.1140/epjc/s10052-019-6861-x,
52,FSQ-17-001,Measurement of inclusive very forward jet cross sections in proton-lead collisions at ${\sqrt {\smash [b]{s_{_{\mathrm {NN}}}}}} = $ 5.02 TeV,JHEP 05 (2019) 043,2018-12-04,FSQ,Forward and Small-x QCD Physics,1706995,"Measurements of differential cross sections for inclusive very forward jet production in proton-lead collisions as a function of jet energy are presented. The data were collected with the CMS experiment at the LHC in the laboratory pseudorapidity range −6.6 < η < −5.2. Asymmetric beam energies of 4 TeV for protons and 1.58 TeV per nucleon for Pb nuclei were used, corresponding to a center-of-mass energy per nucleon pair of $ \sqrt{s_{\mathrm{NN}}} $ = 5.02 TeV. Collisions with either the proton (p+Pb) or the ion (Pb+p) traveling towards the negative η hemisphere are studied. The jet cross sections are unfolded to stable-particle level cross sections with p$_{T}$ ≳ 3 GeV, and compared to predictions from various Monte Carlo event generators. In addition, the cross section ratio of p+Pb and Pb+p data is presented. The results are discussed in terms of the saturation of gluon densities at low fractional parton momenta. None of the models under consideration describes all the data over the full jet-energy range and for all beam configurations. Discrepancies between the differential cross sections in data and model predictions of more than two orders of magnitude are observed.","['p nucleus: interaction', 'lead', 'jet: energy', 'cross section: ratio', 'jet: production', 'beam: energy', 'gluon: saturation', 'parton: momentum', 'gluon: density', 'nucleon: pair', 'differential cross section: measured', 'energy dependence', 'numerical calculations: Monte Carlo', 'CERN LHC Coll', 'fractional', 'rapidity', 'CMS', 'experimental results', '5020 GeV-cms/nucleon']",10.1007/JHEP05(2019)043,"['Rapidity', 'Physics', 'Gluon', 'Nucleon', 'Parton', 'Nuclear physics', 'Pseudorapidity', 'Color-glass condensate', 'Proton', 'Large Hadron Collider']"
51,FSQ-16-012,Evidence for light-by-light scattering and searches for axion-like particles in ultraperipheral PbPb collisions at $\sqrt {\smash [b]{s_{_{\mathrm {NN}}}}} = $ 5.02 TeV,PLB 797 (2019) 134826,2018-10-10,FSQ,Forward and Small-x QCD Physics,1697838,"Evidence for the light-by-light scattering process, γγ→γγ , in ultraperipheral PbPb collisions at a centre-of-mass energy per nucleon pair of 5.02TeV is reported. The analysis is conducted using a data sample corresponding to an integrated luminosity of 390μb−1 recorded by the CMS experiment at the LHC. Light-by-light scattering processes are selected in events with two photons exclusively produced, each with transverse energy ETγ>2GeV , pseudorapidity |ηγ|<2.4 , diphoton invariant mass mγγ>5GeV , diphoton transverse momentum pTγγ<1GeV , and diphoton acoplanarity below 0.01. After all selection criteria are applied, 14 events are observed, compared to expectations of 9.0±0.9(theo) events for the signal and 4.0±1.2(stat) for the background processes. The excess observed in data relative to the background-only expectation corresponds to a significance of 3.7 standard deviations, and has properties consistent with those expected for the light-by-light scattering signal. The measured fiducial light-by-light scattering cross section, σfid(γγ→γγ)=120±46(stat)±28(syst)±12(theo)nb , is consistent with the standard model prediction. The mγγ distribution is used to set new exclusion limits on the production of pseudoscalar axion-like particles, via the Image 1 process, in the mass range Image 2 .","['heavy ion: scattering', 'lead', 'photon photon: scattering', 'final state: two-photon', 'mass spectrum: two-photon', 'axion-like particles', 'mass: lower limit', 'peripheral', 'photon: transverse momentum', 'photon: transverse energy', 'CERN LHC Coll', 'pseudoscalar', 'background', 'planarity', 'photon: rapidity', 'channel cross section: measured', 'CMS', 'experimental results', '5020 GeV-cms']",10.1016/j.physletb.2019.134826,"['Light scattering', 'Physics', 'Invariant mass', 'Nucleon', 'Nuclear physics', 'Scattering', 'Luminosity (scattering theory)', 'Acoplanarity', 'Pseudorapidity', 'Standard Model']"
50,FSQ-13-009,Measurement of exclusive $\Upsilon$ photoproduction from protons in pPb collisions at $\sqrt {\smash [b]{s_{_{\mathrm {NN}}}}} = $ 5.02 TeV,EPJC 79 (2019) 277,2018-09-28,FSQ,Forward and Small-x QCD Physics,1696325,"The exclusive photoproduction of $\mathrm {\Upsilon }\mathrm {(nS)} $ meson states from protons, $\gamma \mathrm {p} \rightarrow \mathrm {\Upsilon }\mathrm {(nS)} \,\mathrm {p}$ (with $\mathrm {n}=1,2,3$ ), is studied in ultraperipheral $\mathrm {p}$ Pb collisions at a centre-of-mass energy per nucleon pair of $\sqrt{\smash [b]{s_{_{\mathrm {NN}}}}} = 5.02\,\text {TeV} $ . The measurement is performed using the $\mathrm {\Upsilon }\mathrm {(nS)} \rightarrow \mu ^+\mu ^-$ decay mode, with data collected by the CMS experiment corresponding to an integrated luminosity of 32.6 $\,\text {nb}^{-1}$ . Differential cross sections as functions of the $\mathrm {\Upsilon }\mathrm {(nS)} $ transverse momentum squared $p_{\mathrm {T}} ^2$ , and rapidity y, are presented. The $\mathrm {\Upsilon (1S)}$ photoproduction cross section is extracted in the rapidity range $|y |< 2.2$ , which corresponds to photon–proton centre-of-mass energies in the range $91<W_{\gamma \mathrm {p}} <826\,\text {GeV} $ . The data are compared to theoretical predictions based on perturbative quantum chromodynamics and to previous measurements.","['upsilon mesons: photoproduction', 'differential cross section: rapidity', 'differential cross section: measured', 'differential cross section: (transverse momentum dependence)', 'upsilon mesons: decay modes', 'peripheral', 'CMS', 'photon p --> upsilon mesons p', 'upsilon mesons --> muon+ muon-', '5.02*10**3 GeV']",10.1140/epjc/s10052-019-6774-8,
49,FSQ-16-011,Measurement of charged particle spectra in minimum-bias events from proton-proton collisions at $\sqrt{s} = $ 13 TeV,EPJC 78 (2018) 697,2018-06-29,FSQ,Forward and Small-x QCD Physics,1680318,"Pseudorapidity, transverse momentum, and multiplicity distributions are measured in the pseudorapidity range $|\eta | < 2.4$ for charged particles with transverse momenta satisfying $p_{\mathrm {T}} > 0.5\,\text {GeV} $ in proton–proton collisions at a center-of-mass energy of $\sqrt{s} = 13\,\text {TeV} $ . Measurements are presented in three different event categories. The most inclusive of the categories corresponds to an inelastic $\mathrm {p}$ $\mathrm {p}$ data set, while the other two categories are exclusive subsets of the inelastic sample that are either enhanced or depleted in single diffractive dissociation events. The measurements are compared to predictions from Monte Carlo event generators used to describe high-energy hadronic interactions in collider and cosmic-ray physics.","['p p: inelastic scattering', 'p p: colliding beams', 'charged particle: spectrum', 'diffraction: dissociation', 'category', 'transverse momentum: momentum spectrum', 'numerical calculations: Monte Carlo', 'rapidity spectrum', 'cosmic radiation', 'multiplicity: spectrum', 'final state: ((n)jet)', 'CMS', 'CERN LHC Coll', 'experimental results', '13000 GeV-cms']",10.1140/epjc/s10052-018-6144-y,
